reference,subsystem,category,candidate_category,manufacturer,mfr_part,package,build_quantity,unit_price_usd,extended_price_usd,stock,moq,score,status,status_reason,shared_with,description,datasheet_url,source_url
U1,MCU,Processing,Embedded Processors & Controllers,NXP Semicon,MC9S08DZ32ACLC,LQFP-32(7x7),1,12.3162,12.3162,10,,59.13,OK,,,12bit 2.7V~5.5V 25 32KB 40MHz LQFP-32(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2405281452_NXP-Semicon-MC9S08DZ32ACLC_C1337499.pdf,https://lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_NXP-Semicon-NXP-Semicon-MC9S08DZ32ACLC_C1337499.html
U2,Bluetooth Module,Communication,IoT/Communication Modules,DOIT,ESPC2-12-N4,"SMD,24x16mm",1,1.4044444,1.4044,1027,,85.85,OK,,,"-40℃~+105℃ -90dBm、-76dBm、-74dBm 20.5dBm 370mA 3V~3.6V 65mA Bluetooth5.0 ESP32-C2、ESP8684H2/H4 UART、SPI、I2C、GPIO、PWM、ADC SMD,24x16mm WiFi Modules ROHS",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401121831_DOIT-ESPC2-12_C19949080.pdf,
U3,Power Management,Power,Power Management ICs,TPOWER,TP4110,SOP-16,1,0.0764,0.0764,3779,,88.88,OK,,,-20℃~+85℃ 1 2.9V 4.35V 4.5V~5.5V SOP-16 Power Management - Specialized ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_1912111437_TPOWER-TP4110_C382136.pdf,https://lcsc.com/product-detail/Battery-Management_TPOWER-TPOWER-TP4110_C382136.html
U4,Battery,Power,Power Management ICs,HYCON Tech,HY2111-GB,SOT-23-6,1,0.0483,0.0483,6904,,89.06,OK,,,-40℃~+85℃ 1 1.5V~8V 100nA 2.9V 4.28V Protection IC Support SOT-23-6 Battery Management ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_1810010216_HYCON-Tech-HY2111-GB_C82747.pdf,https://lcsc.com/product-detail/Battery-Management_HYCON-Tech-HYCON-Tech-HY2111-GB_C82747.html
U5,UV Controller,Output,Optocoupler/LED/Digital Tube/Photoelectric Device,MSKSEMI,PC817B-MS,SOP-4,1,0.0198,0.0198,3093,,59.09,OK,,,"-55℃~+110℃ 1.2V 200mV@20mA,1mA 200mW 35V 50% 50mA 5kV 5us 600% 6V 6us DC Phototransistor SOP-4 Transistor, Photovoltaic Output Optoisolators ROHS",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308080947_MSKSEMI-PC817B-MS_C7472815.pdf,https://lcsc.com/product-detail/Optocouplers---Phototransistor-Output_MSKSEMI-MSKSEMI-PC817B-MS_C7472815.html
U6,Motor Driver,Output,Motor Driver ICs,IDCHIP,AD116,SOT23-6,1,0.0434074,0.0434,23788,,63.33,OK,,,-40℃~+85℃ 1.1A 1.8V~6V 10uA 2.5A Yes SOT23-6 Brushed DC Motor Drivers ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2307170950_IDCHIP-AD116_C7463412.pdf,
U7,Water Quality Sensor,Sensor,Sensors,Microchip Tech,MCP9808T-E/MC,DFN-8-EP(2x3),1,3.5064,3.5064,912,,80.55,⚠️ LOW_CONFIDENCE,No strong dataset match -- closest available part substituted. Verify manually before ordering.,,-40℃~+125℃ 2.7V~5.5V 250ms I2C、SMBus ±0.5℃ DFN-8-EP(2x3) Temperature Sensors ROHS,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2301041009_Microchip-Tech-MCP9808T-E-MC_C194710.pdf,https://lcsc.com/product-detail/Temperature-Sensors_Microchip-Tech-Microchip-Tech-MCP9808T-E-MC_C194710.html
U8,Flow Sensor,Sensor,Sensors,Mysentech,MC1081S,QFN-16-EP(3x3),1,0.7139,0.7139,4549,,86.3,OK,,,No Description,https://www.lcsc.com/datasheet/lcsc_datasheet_2504101957_Mysentech-MC1081S_C42931404.pdf,https://lcsc.com/product-detail/Capacitive-Sensor-IC_Mysentech-Mysentech-MC1081S_C42931404.html
U9,Temperature Sensor,Sensor,Sensors,Texas Instruments,HDC2010YPAR,DSBGA-6,1,0.9991,0.9991,1746,,87.14,OK,,,-40℃~+85℃ 0%RH~100%RH 1.62V~3.6V 11bit 550nA I2C ±0.2℃ ±2%RH DSBGA-6 Temperature and Humidity Sensor ROHS,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2001081204_Texas-Instruments-HDC2010YPAR_C477922.pdf,https://lcsc.com/product-detail/Temperature-and-Humidity-Sensor_Texas-Instruments-Texas-Instruments-HDC2010YPAR_C477922.html
U10,Cloud Connectivity Module,Communication,IoT/Communication Modules,DOIT,ESP-M1,"SMD,15x12.3mm",1,1.6497,1.6497,992,,83.41,OK,,,"-40℃~+85℃ -96dBm 15dBm 2.4GHz 3.3V 375mA 55mA PCB UART WIFI4 SMD,15x12.3mm WiFi Modules ROHS",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401121831_DOIT-ESP-M1_C19949056.pdf,https://lcsc.com/product-detail/WiFi-Modules_DOIT-DOIT-ESP-M1_C19949056.html
